source,brand,name,former_price,current_price,discount,product_link,page
framesdirect,Ray-Ban Meta (Gen 3),Meta Zena Optics,,449.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-zena-optics-eyeglasses?color=1,1
framesdirect,Oakley,Airdrop,,227.0,,https://www.framesdirect.com/oakley-airdrop-eyeglasses?color=1,1
framesdirect,Ray-Ban,RB5397 - Elliot Optics,,210.0,,https://www.framesdirect.com/ray-ban-rb5397-elliot-optics-eyeglasses?color=1,1
framesdirect,RALPH by Ralph Lauren,RA7158U,141.0,98.7,30%,https://www.framesdirect.com/ralph-by-ralph-lauren-ra7158u-eyeglasses?color=1,1
framesdirect,Oakley,Socket 5.5,,227.0,,https://www.framesdirect.com/oakley-socket-5.5-eyeglasses?color=13,1
framesdirect,Versace,VE3186,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3186-eyeglasses?color=10000262,1
framesdirect,XXL,Tuga,197.38,98.69,50%,https://www.framesdirect.com/xxl-tuga-eyeglasses?color=3,1
framesdirect,Ray-Ban,RB7047,,176.0,,https://www.framesdirect.com/ray-ban-rb7047-eyeglasses?color=10007662,1
framesdirect,Oakley,Holbrook RX,,187.0,,https://www.framesdirect.com/oakley-holbrook-rx-eyeglasses?color=1,1
framesdirect,Ray-Ban Meta (Gen 3),Meta Aviator Transitions®,,529.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-aviator-eyeglasses?color=1,1
framesdirect,Polo,PH2083,201.0,140.7,30%,https://www.framesdirect.com/polo-ph2083-eyeglasses?color=499297,1
framesdirect,Oakley,Enigma Echo,,255.0,,https://www.framesdirect.com/oakley-enigma-echo-eyeglasses?color=10063035,1
framesdirect,Ray-Ban,RB6558,,186.0,,https://www.framesdirect.com/ray-ban-rb6558-eyeglasses?color=10063099,1
framesdirect,Versace,VE1295,376.0,188.0,50%,https://www.framesdirect.com/versace-ve1295-eyeglasses?color=1,1
framesdirect,Burberry,BE2408U,483.0,241.5,50%,https://www.framesdirect.com/burberry-be2408u-eyeglasses?color=3,1
framesdirect,Swarovski,SK2001,276.0,138.0,50%,https://www.framesdirect.com/swarovski-sk2001-eyeglasses?color=1,1
framesdirect,Oakley,Pitchman R,,255.0,,https://www.framesdirect.com/oakley-pitchman-r-eyeglasses?color=10059666,1
framesdirect,Ray-Ban,RB5154 Clubmaster,,222.0,,https://www.framesdirect.com/ray-ban-rb5154-clubmaster-eyeglasses?color=392445,1
framesdirect,Costa,Ocean Ridge 700,,197.0,,https://www.framesdirect.com/costa-ocean-ridge-700-eyeglasses?color=2,1
framesdirect,Tiffany & Co.,TF2303U,371.0,259.7,30%,https://www.framesdirect.com/tiffany-co.-tf2303u-eyeglasses?color=10063846,1
framesdirect,Oakley,Plank 2.0,,187.0,,https://www.framesdirect.com/oakley-plank-2.0-eyeglasses?color=6,1
framesdirect,Gucci,GG1340O,305.0,259.25,15%,https://www.framesdirect.com/gucci-gg1340o-eyeglasses?color=4,1
framesdirect,Ray-Ban Meta (Gen 3),Meta Wayfarer Transitions®,,449.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-wayfarer-eyeglasses?color=5,1
framesdirect,Burberry,BE2357,296.0,207.2,30%,https://www.framesdirect.com/burberry-be2357-eyeglasses?color=2,1
framesdirect,Versace,VE1274,298.0,208.6,30%,https://www.framesdirect.com/versace-ve1274-eyeglasses?color=10051376,2
