source,brand,name,former_price,current_price,discount,product_link,page,discount_pct,savings,on_sale,sold_by_n_sites,scraped_at,collection_method
eyebuydirect,EyeBuyDirect,Algorithm,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/algorithm-gunmetal-l-18619,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Amity,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/amity-clear-s-29606,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Ashby,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/ashby-tortoise-l-23896,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Attitude,,66.0,,https://www.eyebuydirect.com/eyeglasses/frames/attitude-pink-ivory-tortoise-l-22407,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Aven,,46.0,,https://www.eyebuydirect.com/eyeglasses/frames/aven-tortoise-m-30082,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Botanist,,39.0,,https://www.eyebuydirect.com/eyeglasses/frames/botanist-gray-brown-m-19654,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Bristol,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/bristol-matte-black-l-13603,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Coexist,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/coexist-black-silver-m-15587,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Denny,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/denny-black-gray-m-15167,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Ember,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/ember-matte-black-l-18789,1,,,False,1,2026-09-24,Official public catalogue snapshot
eyebuydirect,EyeBuyDirect,Fame,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/fame-golden-l-20224,1,,,False,1,2026-09-24,Official public catalogue snapshot
